INSEE_COM;maille;PoidsGeoSafran
17260;6937;0.0127049276755901
17193;5846;0.32124673372277
17193;5847;0.678753266276835
17462;6201;0.0799671555403364
17462;6202;1.55798914376609e-05
17462;6280;0.589715280036478
17462;6281;0.330301984532559
17333;6436;1
17393;6277;0.0158850205799352
17393;6278;0.034691727421278
17393;6357;0.602427858127802
17393;6358;0.346995393870729
17024;5944;0.229107110088994
17024;5945;0.249008555747604
17024;6034;0.263828867502156
17024;6035;0.258055466661143
17230;6436;0.323540183863555
17230;6437;0.162690625852032
17230;6516;0.285534928620564
17230;6517;0.228234261663521
17163;6687;0.727821519260048
17163;6770;0.272178480740132
17228;6356;0.33567385187766
17228;6357;0.0874357378521535
17228;6436;0.33866263517943
17228;6437;0.238227775091026
17429;6028;0.00221445373447333
17429;6114;0.997785546265488
17325;6601;0.178741163879797
17325;6683;0.211348772820312
17325;6684;0.609910063299575
17006;6604;0.95354260420672
17006;6605;0.0464573957931926
17446;6204;1
17357;6688;1
17183;6437;0.406255593755649
17183;6438;0.593744406244104
17410;6683;0.116754771065176
17410;6684;0.87391077949631
17410;6766;0.00129750244479373
17410;6767;0.00803694699405521
17015;6437;0.0654783777882297
17015;6517;0.876754401698248
17015;6518;0.0577672205135743
17021;6274;0.048093310897238
17021;6275;0.951906689102908
17231;6770;0.440904164395945
17231;6771;0.559095835604445
17192;6521;0.132564848734956
17192;6522;0.86743515126495
17033;7019;1
17347;6033;0.477889566024073
17347;6119;0.522110433975801
17351;6196;0.309941008411818
17351;6197;0.373203038251121
17351;6275;0.189268447122568
17351;6276;0.127587506214772
17263;6602;0.00404957354075243
17263;6685;0.597610550673139
17263;6686;0.398339875786578
17099;6853;0.680273979130754
17099;6854;0.258705312477568
17099;6935;0.0610207083917303
17064;6275;0.0120318072026797
17064;6276;0.106922859114253
17064;6355;0.506556613617957
17064;6356;0.374488720065017
17415;6279;0.388295462994094
17415;6280;0.379998161487764
17415;6359;0.190607958935596
17415;6360;0.041098416582654
17349;5574;0.151835332708573
17349;5575;0.148890493326582
17349;5667;0.358835358406036
17349;5668;0.340438815558604
17052;6768;0.913799830456972
17052;6769;0.00903510291861543
17052;6851;0.0674083707643066
17052;6852;0.00975669586021433
17093;6112;0.996563412489258
17093;6195;0.00343658751042692
17026;6202;0.0968474178221986
17026;6203;0.903152582177956
17484;6027;0.587382180680207
17484;6028;0.364611644210054
17484;6113;0.0384383960765198
17484;6114;0.00956777903173031
17223;6204;0.0054495506966096
17223;6205;0.994550449302763
17218;5480;0.00229477413124052
17218;5573;0.374798183677828
17218;5574;0.355190684138285
17218;5666;0.0306869875693762
17218;5667;0.237029370483509
17262;6278;0.437997558032136
17262;6279;0.562002441967924
17328;6600;0.270507941900454
17328;6601;0.637277630882131
17328;6683;0.0909806458598419
17328;6684;0.00123378135786129
17106;6523;1
17172;6439;0.149846118014071
17172;6519;0.850153881985958
17243;6853;0.00987000637208808
17243;6854;0.554379882714109
17243;6935;0.0488789999745489
17243;6936;0.386871110939217
17215;6603;1
17083;6115;0.0521537166150933
17083;6198;0.937169778300485
17083;6277;0.0106765050838488
17472;5665;0.200875680068118
17472;5666;0.799124319932138
17250;6520;0.180330037043019
17250;6602;0.640476862592075
17250;6603;0.17919310036494
17114;5943;0.635429580890472
17114;5944;0.364570419109785
17087;6031;0.149125327130472
17087;6032;0.85087467287056
17387;6199;0.936120107047893
17387;6200;0.0638798929520131
17286;5662;0.509319871594865
17286;5663;0.49068012840512
17403;6686;1
17284;6198;0.66482912516085
17284;6199;0.335170874839236
17046;6118;1
17062;6122;0.164356601850172
17062;6123;0.0266767536062937
17062;6205;0.577948192496766
17062;6206;0.231018452046969
17077;7017;0.491804902695748
17077;7018;0.50819509730432
17086;6280;0.466564863091959
17086;6281;0.203835422233495
17086;6360;0.190465141465622
17086;6361;0.139134573208906
17041;5668;0.0804653480269182
17041;5760;0.716598790356033
17041;5761;0.202935861616975
17019;5662;0.688069391936679
17019;5663;0.0631134311957295
17019;5754;0.0986738911626381
17081;6769;0.816862010212238
17081;6852;0.183137989787744
17232;6357;0.160294024293227
17232;6358;0.441255928536973
17232;6437;0.0129956244080133
17232;6438;0.385454422761767
17091;5572;0.219992543153554
17091;5573;0.383456861348881
17091;5665;0.169321078140469
17091;5666;0.227229517356972
17237;6113;0.277515506874177
17237;6114;0.722484493125783
17431;6199;0.202992821822746
17431;6278;0.797007178177174
17236;6685;0.42176682505875
17236;6768;0.578233174941189
17474;5852;0.699039972605176
17474;5853;0.0697366134138976
17474;5943;0.204369594520408
17474;5944;0.0268538194600811
17337;5935;0.00717012360014866
17337;5936;0.0684133339313942
17337;6025;0.665447406857966
17337;6026;0.184430518913432
17188;6121;0.109990475609179
17188;6122;0.00251094808004249
17188;6204;0.720579984799736
17188;6205;0.16691859151086
17100;6281;0.0787916097401127
17100;6282;0.0877434203264939
17100;6361;0.578984783712225
17100;6362;0.254480186221504
17323;5935;0.57191764809368
17323;5936;0.428082351906394
17268;5944;0.36714000944087
17268;6034;0.632859990559
17208;5666;0.256225733688689
17208;5667;0.699905365909756
17208;5758;0.00690587186680082
17208;5759;0.0369630285349335
17239;6203;0.376450572003393
17239;6204;0.169444053117191
17239;6282;0.0608162391807156
17239;6283;0.393289135699037
17095;6770;0.00223123136414711
17095;6771;0.307738850230067
17095;6853;0.0223357509585556
17095;6854;0.667694167448176
17066;6604;0.000775722032503191
17066;6605;0.999224277967509
17241;6855;0.07037776454746
17241;6937;0.929622235452799
17469;6439;0.323441008533892
17469;6440;0.67655899146605
17059;5758;1
17186;5759;0.395913438056468
17186;5760;0.604086561943319
17288;6033;0.419013135927136
17288;6034;0.251740885834203
17288;6119;0.20232504275018
17288;6120;0.126920935488543
17470;6202;0.0260085444185774
17470;6203;0.199159368856027
17470;6281;0.323643008965735
17470;6282;0.451189077759649
17426;6282;0.98279024291761
17426;6283;0.0172097570820229
17149;6036;1
17249;6687;0.562963731657159
17249;6688;0.437036268343142
17461;6355;0.467788112166427
17461;6356;0.15044698053438
17461;6435;0.379448571967016
17461;6436;0.00231633533334241
17451;6121;0.90444978770923
17451;6122;0.0955502122909119
17389;6115;0.000948510595184252
17389;6116;0.000101390892612523
17389;6198;0.833155292202957
17389;6199;0.165794806308937
17171;6116;0.246644924953215
17171;6117;0.107653257261343
17171;6199;0.32915591241947
17171;6200;0.316545905366304
17295;6604;1
17302;6116;0.365483385957218
17302;6199;0.634516614042582
17437;6517;1
17383;6034;0.442914947045489
17383;6120;0.557085052954794
17258;6522;0.498641091895681
17258;6604;0.501358908104568
17435;6118;1
17374;6119;0.66219321341938
17374;6120;0.12682262276331
17374;6202;0.198120316620982
17374;6203;0.0128638471970558
17067;6204;0.900971477608435
17067;6205;0.0420282404260731
17067;6283;0.0570002819648639
17036;6114;0.824702056945349
17036;6197;0.175297943054408
17335;6684;0.878172803717522
17335;6767;0.121827196282531
17395;6281;0.656700876659301
17395;6361;0.343299123340153
17254;5942;0.878624727224294
17254;6032;0.121375272775112
17147;6201;0.0389004326393905
17147;6202;0.746687390061583
17147;6281;0.2144121772992
17372;6687;1
17051;5754;0.165289827718248
17051;5755;0.834710172281476
17366;6937;0.103083534555985
17366;6938;0.0349474110349317
17366;7018;0.588595146990915
17366;7019;0.273373907418644
17134;6200;1
17102;6359;1
17108;6603;0.961130013325564
17108;6604;0.0388699866752271
17200;5757;1
17380;6355;0.97869584911796
17380;6435;0.0213041508819894
17097;6357;0.332247257969607
17097;6437;0.667752742029911
17313;6281;1
17282;6770;1
17342;6519;0.665414518243486
17342;6601;0.334585481756392
17155;6275;0.682659786838719
17155;6355;0.317340213161095
17483;5937;0.00746119519718674
17483;5938;0.992538804802499
17013;5943;0.101284077722892
17013;6033;0.898292834497275
17013;6034;0.000423087780024962
17043;5850;8.03874996857972e-07
17043;5851;0.0527253999324135
17043;5941;0.0288113866199278
17043;5942;0.918462409572578
17012;5941;0.446663750198203
17012;6031;0.553336249802748
17306;6356;0.255394899130691
17306;6435;0.0325364979709295
17306;6436;0.712068602898303
17293;5760;0.083937750059584
17293;5849;0.916062249940559
17061;6771;1
17174;5940;0.48284839477313
17174;5941;0.222831823322735
17174;6030;0.282387596378598
17174;6031;0.011932185525221
17434;5849;0.303496246849329
17434;5850;0.602611433029014
17434;5940;0.000626092562579954
17434;5941;0.093266227558602
17326;6523;0.0494353043636265
17326;6605;0.950564695636426
17055;6937;0.00201350983425654
17055;6938;0.997986490165663
17338;5760;0.00252073027229956
17338;5761;0.363615910375958
17338;5849;0.00753689991823555
17338;5850;0.626326459433677
17339;6603;0.57868286880426
17339;6604;0.295077125840579
17339;6686;0.126240005354885
17310;6438;0.55012465989442
17310;6439;0.0441371074360981
17310;6518;0.336439679141265
17310;6519;0.0692985535281086
17122;6441;0.406929189243206
17122;6442;0.593070810756715
17072;6281;0.243990826331508
17072;6282;0.756009173668214
17381;5943;0.00159921447508545
17381;6033;0.631290824611019
17381;6034;0.367109960914699
17273;6361;0.0159298057688017
17273;6362;0.00912488143178793
17273;6441;0.822542893061363
17273;6442;0.15240241973825
17362;6685;0.854926535282732
17362;6768;0.145073464717048
17003;5847;0.0789844700230418
17003;5848;0.921015529976668
17360;5755;0.981987356224083
17360;5756;0.0180126437756398
17113;7018;0.999411515023012
17113;7096;0.000588484977097535
17078;6521;0.916478532626403
17078;6522;0.0835214673737583
17267;5667;0.897109236100183
17267;5759;0.102890763900168
17278;6358;1
17358;5945;0.797109090879248
17358;5946;0.103438360897406
17358;6035;0.0994525482232016
17007;5759;0.999753827391547
17007;5760;0.000246172608055327
17343;6520;0.00084941896787757
