INSEE_COM;CODE_DEPT;CODE_REG;maille;PoidsComSafran
01240;01;82;5821;0.069633795429297
01266;01;82;5632;0.961862481322572
01266;01;82;5725;0.0381375186774545
01359;01;82;5906;0.153205772747489
01359;01;82;5997;0.84679422725245
01451;01;82;5726;0.640065263284579
01451;01;82;5727;0.205342474200808
01451;01;82;5818;0.111938679971361
01451;01;82;5819;0.0426535825430617
01129;01;82;6088;1
01247;01;82;5547;0.60682526104527
01247;01;82;5640;0.211526265335476
01247;01;82;5641;0.181648473619212
01348;01;82;5814;0.543348643927924
01348;01;82;5815;0.273459198972304
01348;01;82;5903;0.110632306229529
01348;01;82;5904;0.0725598508702112
01036;01;82;6178;0.178132848968673
01036;01;82;6179;0.821867151031241
01093;01;82;5905;1
01374;01;82;5908;0.634306165215718
01374;01;82;5909;0.276461598388272
01374;01;82;5999;0.089232236395779
01444;01;82;6176;0.000364728787599921
01444;01;82;6177;0.0294686564797073
01444;01;82;6259;0.135506312066564
01444;01;82;6260;0.834660302666102
01196;01;82;5538;0.168575102542041
01196;01;82;5632;0.831424897457866
01058;01;82;6420;0.430341251155501
01058;01;82;6421;0.0069183755675072
01058;01;82;6500;0.224736560882183
01058;01;82;6501;0.338003812394209
01155;01;82;6091;1
01056;01;82;6000;0.00404703117447042
01056;01;82;6001;0.99528336595234
01056;01;82;6091;0.000669602872789885
01011;01;82;5730;0.00774714945006894
01011;01;82;5731;0.131791201656614
01011;01;82;5822;0.453835861673944
01011;01;82;5823;0.406625787219702
01197;01;82;5908;0.808467093773199
01197;01;82;5909;0.191532906223696
01352;01;82;5537;0.969631259512347
01352;01;82;5631;0.0303687404879647
01370;01;82;5723;1
01139;01;82;5442;0.33641569039214
01139;01;82;5443;0.663584309608026
01199;01;82;6000;0.928517731268843
01199;01;82;6001;0.0714822687313219
01262;01;82;6172;0.400010129421225
01262;01;82;6173;0.265298447275579
01262;01;82;6255;0.0818766487668435
01262;01;82;6256;0.252814774536445
01383;01;82;5906;0.352057090100088
01383;01;82;5907;0.249837914727991
01383;01;82;5997;0.214324803514228
01383;01;82;5998;0.183780191657856
01025;01;82;5630;0.21237421653081
01025;01;82;5631;0.46598762930016
01025;01;82;5723;0.0485801381025059
01025;01;82;5724;0.273058016066528
01144;01;82;5631;1
01347;01;82;6084;0.57072834301682
01347;01;82;6170;0.42927165698319
01121;01;82;6001;1
01420;01;82;5814;0.476717612486813
01420;01;82;5903;0.523282387511959
01393;01;82;5905;0.0499190497441796
01393;01;82;5996;0.949752045636588
01393;01;82;5997;0.000328904619179991
01343;01;82;5724;1
01140;01;82;5725;1
01441;01;82;5910;0.294810723206695
01441;01;82;5911;0.452634792686315
01441;01;82;6001;0.196728590958884
01441;01;82;6002;0.0558258931475063
01412;01;82;5816;0.724291423464535
01412;01;82;5905;0.275708576535097
01114;01;82;5824;0.864696898836824
01114;01;82;5825;0.0555764281682973
01114;01;82;5913;0.0797266729941726
01060;01;82;5911;0.421819377613308
01060;01;82;6002;0.578180622386587
01311;01;82;6178;1
01376;01;82;6255;0.999394831126677
01376;01;82;6334;0.000605168872153752
01004;01;82;6089;0.0136309777401283
01004;01;82;6090;0.94733668680827
01004;01;82;6176;0.0390323354515489
01355;01;82;5724;0.999336210914863
01355;01;82;5725;0.000663789085223425
